Model Year,Division,Carline,Eng Displ,# Cyl,City FE,Hwy FE,Comb FE
2016,Volkswagen,Beetle Convertible,1.8,4,25,34,28
2016,Volkswagen,Beetle Convertible,2.0,4,23,31,26
2016,Volkswagen,Beetle Convertible,2.0,4,23,31,26
2016,Volkswagen,Eos,2.0,4,22,30,25
2016,Acura,ILX,2.4,4,25,36,29
2016,Acura,TLX 2WD,2.4,4,24,35,28
2016,Acura,TLX 2WD,3.5,6,21,34,25
2016,Acura,TLX 4WD,3.5,6,21,31,25
2016,Audi,A4,2.0,4,24,31,27
2016,Audi,A4 quattro,2.0,4,21,30,25
2016,Audi,A4 quattro,2.0,4,22,32,26
2016,Audi,Q3,2.0,4,20,29,23
2016,Audi,Q3 quattro,2.0,4,20,28,23
2016,Audi,S4,3.0,6,18,28,21
2016,Audi,S4,3.0,6,17,26,20
2016,Bentley,Continental GT,4.0,8,15,25,19
2016,Bentley,Continental GT,6.0,12,12,21,15
2016,BMW,320i,2.0,4,24,36,28
2016,BMW,320i,2.0,4,23,36,28
2016,BMW,320i xDrive,2.0,4,23,35,27
2016,BMW,328d,2.0,4,32,42,36
2016,BMW,328d xDrive,2.0,4,30,40,34
2016,BMW,328i,2.0,4,23,35,27
2016,BMW,328i,2.0,4,22,34,26
2016,BMW,328i xDrive,2.0,4,22,34,26
2016,BMW,340i,3.0,6,22,33,26
2016,BMW,340i,3.0,6,20,30,23
2016,BMW,340i xDrive,3.0,6,22,33,26
2016,BMW,340i xDrive,3.0,6,20,29,23
2016,BMW,428i Coupe,2.0,4,23,35,27
2016,BMW,428i Coupe,2.0,4,22,34,26
2016,BMW,428i Gran Coupe,2.0,4,23,34,27
2016,BMW,428i xDrive Coupe,2.0,4,22,34,26
2016,BMW,428i xDrive Gran Coupe,2.0,4,22,34,26
2016,BMW,435i Coupe,3.0,6,20,31,24
2016,BMW,435i Coupe,3.0,6,20,30,23
2016,BMW,435i Gran Coupe,3.0,6,20,31,24
2016,BMW,435i xDrive Coupe,3.0,6,20,30,23
2016,BMW,435i xDrive Coupe,3.0,6,19,28,22
2016,BMW,435i xDrive Gran Coupe,3.0,6,20,30,23
2016,BMW,640i Gran Coupe,3.0,6,20,31,24
2016,BMW,640i xDrive Gran Coupe,3.0,6,20,29,23
2016,BMW,650i Gran Coupe,4.4,8,17,25,20
2016,BMW,650i xDrive Gran Coupe,4.4,8,15,24,18
2016,BMW,Alpina B6 Gran Coupe xDrive,4.4,8,15,24,18
2016,BMW,M3,3.0,6,17,24,19
2016,BMW,M3,3.0,6,17,26,20
2016,BMW,M4 Coupe,3.0,6,17,24,19
2016,BMW,M4 Coupe,3.0,6,17,26,20
2016,BMW,M6 Gran Coupe,4.4,8,14,20,16
2016,BMW,M6 Gran Coupe,4.4,8,15,22,17
2016,Buick,VERANO,2.0,4,21,30,24
2016,Buick,VERANO,2.0,4,20,31,24
2016,Buick,VERANO,2.4,4,21,32,25
2016,Cadillac,ATS,2.0,4,22,31,26
2016,Cadillac,ATS,2.0,4,20,29,23
2016,Cadillac,ATS,2.5,4,22,32,26
2016,Cadillac,ATS,3.6,6,20,30,24
2016,Cadillac,ATS AWD,2.0,4,22,30,25
2016,Cadillac,ATS AWD,3.6,6,19,28,22
2016,Cadillac,ATS-V,3.6,6,16,24,19
2016,Cadillac,ATS-V,3.6,6,17,23,19
2016,Chevrolet,CAMARO,2.0,4,22,31,25
2016,Chevrolet,CAMARO,2.0,4,21,30,24
2016,Chevrolet,CAMARO,3.6,6,19,28,23
2016,Chevrolet,CAMARO,3.6,6,18,27,21
2016,Chevrolet,CAMARO,6.2,8,17,28,20
2016,Chevrolet,CAMARO,6.2,8,16,25,19
2016,Chevrolet,CRUZE,1.4,4,30,42,35
2016,Chevrolet,CRUZE,1.4,4,29,41,33
2016,Chevrolet,CRUZE PREMIER,1.4,4,30,40,34
2016,Chevrolet,SONIC,1.4,4,27,37,31
2016,Chevrolet,SONIC,1.4,4,29,40,33
2016,Chevrolet,SONIC,1.8,4,24,35,28
2016,Chevrolet,SONIC,1.8,4,26,35,30
2016,Chevrolet,SONIC RS,1.4,4,25,33,28
2016,Chevrolet,SONIC RS,1.4,4,27,34,30
2016,Ford,Fiesta ST FWD,1.6,4,26,33,29
2016,Ford,FOCUS FWD,1.0,3,28,40,32
2016,Ford,FOCUS FWD,1.0,3,30,42,35
2016,Ford,FOCUS FWD,2.0,4,27,40,31
2016,Ford,FOCUS FWD,2.0,4,26,38,30
2016,Ford,FOCUS FWD,2.0,4,26,36,30
2016,Ford,Focus FWD FFV,2.0,4,27,40,31
2016,Ford,Focus FWD FFV,2.0,4,26,38,30
2016,Ford,Focus FWD FFV,2.0,4,26,36,30
2016,Honda,CIVIC 2Dr,1.5,4,31,41,35
2016,Honda,CIVIC 2Dr,2.0,4,30,41,34
2016,Honda,CIVIC 2Dr,2.0,4,26,38,31
2016,HYUNDAI MOTOR COMPANY,Accent,1.6,4,26,37,30
2016,HYUNDAI MOTOR COMPANY,Accent,1.6,4,27,38,31
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,27,33,29
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,28,36,31
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,25,33,28
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,27,35,30
2016,INFINITI,Q50 HYBRID,3.5,6,28,34,30
2016,INFINITI,Q50 HYBRID AWD,3.5,6,27,31,28
2016,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,30,25
2016,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,29,25
2016,KIA MOTORS CORPORATION,Forte Koup,2.0,4,25,34,28
2016,KIA MOTORS CORPORATION,Forte Koup,2.0,4,24,33,27
2016,KIA MOTORS CORPORATION,Rio,1.6,4,27,37,31
2016,KIA MOTORS CORPORATION,Rio,1.6,4,27,38,31
2016,KIA MOTORS CORPORATION,Rio ECO,1.6,4,28,37,31
2016,LEXUS,CT 200h,1.8,4,43,40,42
2016,LEXUS,GS F,5.0,8,16,24,19
2016,LEXUS,IS 200t,2.0,4,22,33,26
2016,LEXUS,IS 300 AWD,3.5,6,19,26,21
2016,LEXUS,IS 350,3.5,6,19,28,22
2016,LEXUS,IS 350 AWD,3.5,6,19,26,21
2016,MAZDA,CX-3 2WD,2.0,4,29,35,31
2016,MAZDA,CX-3 4WD,2.0,4,27,32,29
2016,MAZDA,MAZDA 2,1.5,4,33,43,37
2016,MAZDA,MAZDA 2,1.5,4,31,42,35
2016,MAZDA,MAZDA3 4-Door,2.0,4,30,41,34
2016,MAZDA,MAZDA3 4-Door,2.0,4,29,41,33
2016,MAZDA,MAZDA3 4-Door,2.5,4,29,40,33
2016,MAZDA,MAZDA3 4-Door,2.5,4,28,39,32
2016,MAZDA,MAZDA3 4-Door,2.5,4,25,37,29
2016,Mercedes-Benz,AMG C 63,4.0,8,18,25,20
2016,Mercedes-Benz,AMG C 63 S,4.0,8,18,25,20
2016,Mercedes-Benz,AMG CLA 45 4MATIC,2.0,4,23,31,26
2016,Mercedes-Benz,AMG CLS 63 S 4MATIC,5.5,8,16,22,18
2016,Mercedes-Benz,AMG S 63 4MATIC (coupe),5.5,8,15,23,18
2016,Mercedes-Benz,AMG S 65 (coupe),6.0,12,13,20,15
2016,Mercedes-Benz,C 300,2.0,4,25,34,28
2016,Mercedes-Benz,C 300 4MATIC,2.0,4,24,31,27
2016,Mercedes-Benz,C 450 AMG,3.0,6,21,29,24
2016,Mercedes-Benz,CLA 250,2.0,4,26,38,30
2016,Mercedes-Benz,CLA 250 4MATIC,2.0,4,24,33,27
2016,Mercedes-Benz,CLA 250 4MATIC,2.0,4,24,33,27
2016,Mercedes-Benz,CLS 400,3.0,6,20,30,24
2016,Mercedes-Benz,CLS 400 4MATIC,3.0,6,19,26,22
2016,Mercedes-Benz,CLS 550,4.7,8,17,26,21
2016,Mercedes-Benz,CLS 550 4MATIC,4.7,8,17,25,20
2016,Mercedes-Benz,S 550 4MATIC (coupe),4.7,8,16,24,19
2016,Mini,Mini Cooper Countryman,1.6,4,25,30,27
2016,Mini,Mini Cooper Countryman,1.6,4,27,32,29
2016,Mini,Mini Cooper Paceman,1.6,4,25,30,27
2016,Mini,Mini Cooper Paceman,1.6,4,27,32,29
2016,Mini,Mini Cooper S Countryman,1.6,4,25,32,28
2016,Mini,Mini Cooper S Countryman,1.6,4,26,32,29
2016,Mini,Mini Cooper S Countryman All4,1.6,4,23,30,26
2016,Mini,Mini Cooper S Countryman All4,1.6,4,25,31,27
2016,Mini,Mini Cooper S Paceman,1.6,4,25,32,28
2016,Mini,Mini Cooper S Paceman,1.6,4,26,32,29
2016,Mini,Mini Cooper S Paceman ALL4,1.6,4,23,30,26
2016,Mini,Mini Cooper S Paceman ALL4,1.6,4,25,31,27
2016,Mini,Mini JCW Countryman ALL4,1.6,4,23,30,26
2016,Mini,Mini JCW Countryman ALL4,1.6,4,25,31,27
2016,Mini,Mini JCW Paceman ALL4,1.6,4,23,30,26
2016,Mini,Mini JCW Paceman ALL4,1.6,4,25,31,27
2016,Mitsubishi Motors Corporation,LANCER,2.0,4,27,35,30
2016,Mitsubishi Motors Corporation,LANCER,2.0,4,24,34,28
2016,Mitsubishi Motors Corporation,LANCER,2.4,4,24,31,27
2016,Mitsubishi Motors Corporation,LANCER,2.4,4,22,31,25
2016,Mitsubishi Motors Corporation,LANCER 4WD,2.4,4,23,31,26
2016,NISSAN,VERSA,1.6,4,26,35,30
2016,NISSAN,VERSA,1.6,4,31,40,35
2016,NISSAN,VERSA,1.6,4,27,36,30
2016,Rolls-Royce Motor Cars Limited,Dawn,6.6,12,12,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Coupe,6.7,12,11,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Drophead Coupe,6.7,12,11,19,14
2016,SCION,tC,2.5,4,23,31,26
2016,SCION,tC,2.5,4,23,31,26
2016,Subaru,IMPREZA,2.0,4,28,37,31
2016,Subaru,IMPREZA,2.0,4,25,34,28
2016,Subaru,WRX,2.0,4,18,24,21
2016,Subaru,WRX,2.0,4,20,27,23
2016,Subaru,WRX,2.5,4,17,23,19
2016,TOYOTA,PRIUS c,1.5,4,53,46,50
2016,TOYOTA,YARIS,1.5,4,30,36,32
2016,TOYOTA,YARIS,1.5,4,30,37,33
2016,Volkswagen,Beetle,1.8,4,25,34,28
2016,Volkswagen,Beetle,1.8,4,25,34,28
2016,Volkswagen,Beetle,2.0,4,24,31,27
2016,Volkswagen,Beetle,2.0,4,23,31,26
2016,Volkswagen,Beetle Dune,1.8,4,24,31,27
2016,Volkswagen,CC,2.0,4,22,31,25
2016,Volkswagen,CC,2.0,4,21,32,25
2016,Volkswagen,CC 4Motion,3.6,6,17,25,20
2016,Volkswagen,Golf,1.8,4,25,36,29
2016,Volkswagen,Golf,1.8,4,25,37,30
2016,Volkswagen,Golf R,2.0,4,23,30,25
2016,Volkswagen,Golf R,2.0,4,22,31,25
2016,Volkswagen,GTI,2.0,4,25,33,28
2016,Volkswagen,GTI,2.0,4,25,34,28
2016,Volkswagen,Jetta,1.4,4,28,39,32
2016,Volkswagen,Jetta,1.4,4,28,40,33
2016,Volkswagen,Jetta,1.8,4,25,36,29
2016,Volkswagen,Jetta,1.8,4,25,37,29
2016,Volkswagen,Jetta,2.0,4,24,33,27
2016,Volkswagen,Jetta,2.0,4,23,33,27
2016,Volkswagen,Jetta Hybrid,1.4,4,42,48,44
2016,Volvo,S60 AWD,2.0,4,22,31,25
2016,Volvo,S60 AWD,2.5,5,20,29,23
2016,Volvo,S60 AWD,3.0,6,18,27,21
2016,Volvo,S60 CC AWD,2.5,5,20,28,23
2016,Volvo,S60 FWD,2.0,4,26,38,30
2016,Volvo,S60 FWD,2.0,4,23,33,27
2016,Volvo,S60 Inscription AWD,2.5,5,20,29,23
2016,Volvo,S60 Inscription FWD,2.0,4,25,37,29
2016,Volvo,S60 Polestar AWD,3.0,6,18,27,21
2016,Acura,RLX,3.5,6,28,32,30
2016,Acura,RLX,3.5,6,20,31,24
2016,Audi,A6,2.0,4,24,35,28
2016,Audi,A6 quattro,2.0,4,22,32,26
2016,Audi,A6 quattro,3.0,6,25,38,30
2016,Audi,A6 quattro,3.0,6,20,30,24
2016,Audi,A7 quattro,3.0,6,25,38,30
2016,Audi,A7 quattro,3.0,6,20,30,24
2016,Audi,RS7,4.0,8,15,25,18
2016,Audi,S6,4.0,8,18,27,21
2016,Audi,S7,4.0,8,17,27,21
2016,Audi,S8,4.0,8,15,25,19
2016,Bentley,Flying Spur,4.0,8,14,24,17
2016,Bentley,Flying Spur,6.0,12,12,20,15
2016,Bentley,Mulsanne,6.8,8,11,18,13
2016,BMW,528i,2.0,4,23,34,27
2016,BMW,528i xDrive,2.0,4,22,34,26
2016,BMW,535d,3.0,6,26,38,30
2016,BMW,535d xDrive,3.0,6,26,37,30
2016,BMW,535i,3.0,6,20,31,24
2016,BMW,535i xDrive,3.0,6,20,29,23
2016,BMW,550i,4.4,8,17,25,20
2016,BMW,550i xDrive,4.4,8,16,25,19
2016,BMW,ActiveHybrid 5,3.0,6,23,30,26
2016,BMW,M5,4.4,8,14,20,16
2016,BMW,M5,4.4,8,15,22,17
2016,Buick,LACROSSE,2.4,4,25,36,29
2016,Buick,LACROSSE,3.6,6,18,28,22
2016,Buick,LACROSSE,3.6,6,18,28,21
2016,Buick,LACROSSE AWD,3.6,6,17,26,20
2016,Buick,REGAL,2.0,4,21,30,24
2016,Buick,REGAL,2.0,4,20,31,24
2016,Buick,REGAL,2.4,4,25,36,29
2016,Buick,REGAL,2.4,4,19,31,23
2016,Buick,REGAL AWD,2.0,4,19,27,22
2016,Cadillac,CTS SEDAN,2.0,4,21,31,25
2016,Cadillac,CTS SEDAN,3.6,6,20,30,24
2016,Cadillac,CTS SEDAN,3.6,6,16,24,19
2016,Cadillac,CTS SEDAN AWD,2.0,4,21,29,24
2016,Cadillac,CTS SEDAN AWD,3.6,6,19,28,22
2016,Cadillac,CTS-V,6.2,8,14,21,17
2016,Chevrolet,CRUZE LIMITED,1.4,4,26,38,30
2016,Chevrolet,CRUZE LIMITED,1.4,4,26,38,30
2016,Chevrolet,CRUZE LIMITED,1.8,4,22,35,27
